name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
wekweti,2014-01-01,-33,-40.9,-37.2,-35.9,-50.4,-43,-41.3,65.4,0,0,0,,0,4.9,,12.9,199.9,1030.5,53.1,12.3,3.8,0.3,0,,2014-01-01T10:28:53,2014-01-01T14:52:15,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"71020599999,CXLC,71680099999"
wekweti,2014-01-02,-23.9,-31.9,-26.5,-33.8,-42.9,-39.2,-29.5,75.8,0,0,0,,0,0,40.7,29.4,54.6,1007.8,76.8,8.1,1.3,0,0,,2014-01-02T10:27:46,2014-01-02T14:54:20,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71020599999,CXLC,71680099999"
wekweti,2014-01-03,-28,-36,-33.7,-40.7,-53.2,-47.5,-37.3,69.2,0,0,0,,0,0,37.1,31.6,349.6,1023.2,10.5,12.9,4.9,0.4,0,,2014-01-03T10:26:31,2014-01-03T14:56:31,0.08,Clear,Clear conditions throughout the day.,clear-day,"71020599999,CXLC,71680099999"
wekweti,2014-01-04,-30.9,-35.9,-32.3,-35.9,-45,-42.6,-36.2,67.8,0,0,0,,25,15.4,38.9,22.4,20.3,1041.2,22.9,12.2,4.3,0.3,0,,2014-01-04T10:25:10,2014-01-04T14:58:48,0.11,Partially cloudy,Partly cloudy throughout the day.,snow,"71020599999,CXLC,71680099999"
wekweti,2014-01-05,-35.9,-40.9,-38.1,-35.9,-50.5,-44.2,-42.2,65.4,0,0,0,,0,23.9,,12.9,57.1,1045.8,3.4,13.8,3.8,0.3,0,,2014-01-05T10:23:42,2014-01-05T15:01:11,0.15,Clear,Clear conditions throughout the day.,clear-day,"71020599999,CXLC,71680099999"
wekweti,2014-01-06,-31.9,-36.9,-34,-34,-49.4,-44.9,-37.6,69.8,0,0,0,,0,22.6,,20.4,57.3,1035,1.3,14,4.1,0.3,0,,2014-01-06T10:22:08,2014-01-06T15:03:39,0.18,Clear,Clear conditions throughout the day.,clear-day,"71020599999,CXLC,71680099999"
wekweti,2014-01-07,-22,-39.9,-33.9,-34.3,-51.7,-42.7,-37.5,69.4,0,0,0,,0,20.9,37.1,27.6,99,1027.9,42.3,12.9,5.2,0.4,0,,2014-01-07T10:20:27,2014-01-07T15:06:13,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71020599999,CXLC,71680099999"
wekweti,2014-01-08,-20,-27.9,-22.2,-30,-38.7,-32.8,-24.6,80.7,3,100,8.33,snow,0,20.1,48.2,26,253,1001.2,65.4,10.9,4,0.3,0,,2014-01-08T10:18:41,2014-01-08T15:08:51,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"71020599999,CXLC,71680099999"
wekweti,2014-01-09,-24,-34.9,-29.4,-28.9,-40.4,-34.9,-32.4,74.6,0,0,0,,0,20,,18.3,286.2,1003.7,40.1,13.9,6,0.4,0,,2014-01-09T10:16:50,2014-01-09T15:11:34,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71020599999,CXLC,71680099999"
wekweti,2014-01-10,-24.9,-32.9,-27.6,-24.9,-43.2,-32.6,-30.4,76.8,0,0,0,,0.6,20.2,,12.9,27.4,1003,81.2,10.1,1.9,0.1,0,,2014-01-10T10:14:53,2014-01-10T15:14:21,0.32,Partially cloudy,Partly cloudy throughout the day.,snow,"71020599999,CXLC,71680099999"
